num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
20	2002 年 以来 、 マレット は 息子 に 繰れて いる 。 現在 、 2000 年 である 。	マレット は 2013 年 に は 息子 に 繰れて いた 。	neutral	1	年	random	以来（状態動詞）
21	2009 年 以来 、 チャーリー は シート に 作成 して いる 。 現在 、 2010 年 である 。	チャーリー は 2007 年 に は シート に 作成 して いた 。	contradiction	1	年	random	以来（状態動詞）
22	2002 年 以来 、 エレン は 風 に 変えて いる 。 現在 、 2016 年 である 。	エレン は 2014 年 に は 風 に 変えて いた 。	entailment	1	年	random	以来（状態動詞）
23	2019 年 以来 、 マロリー は 知事 選 に 表明 して いる 。 現在 、 2020 年 である 。	マロリー は 2004 年 に は 知事 選 に 表明 して いた 。	contradiction	1	年	random	以来（状態動詞）
24	2013 年 以来 、 マーヴィン は 戦 に 臨んで いる 。 現在 、 2004 年 である 。	マーヴィン は 2017 年 に は 戦 に 臨んで いた 。	neutral	1	年	random	以来（状態動詞）
25	2018 年 以来 、 パット は 作業 に 発揮 して いる 。 現在 、 2008 年 である 。	パット は 2015 年 に は 作業 に 発揮 して いた 。	contradiction	1	年	random	以来（状態動詞）
26	2015 年 以来 、 チャーリー は 疑問 に 答えて いる 。 現在 、 2008 年 である 。	チャーリー は 2016 年 に は 疑問 に 答えて いた 。	neutral	1	年	random	以来（状態動詞）
27	2014 年 以来 、 オスカー は リアル タイム に 届けて いる 。 現在 、 2016 年 である 。	オスカー は 2013 年 に は リアル タイム に 届けて いた 。	contradiction	1	年	random	以来（状態動詞）
28	2010 年 以来 、 プロッド は 北九州 に 行って いる 。 現在 、 2020 年 である 。	プロッド は 2004 年 に は 北九州 に 行って いた 。	contradiction	1	年	random	以来（状態動詞）
29	2004 年 以来 、 チャーリー は 国民 に 伝えて いる 。 現在 、 2020 年 である 。	チャーリー は 2014 年 に は 国民 に 伝えて いた 。	entailment	1	年	random	以来（状態動詞）
30	2000 年 以来 、 ボブ は フランス に 帰国 して いる 。 現在 、 2012 年 である 。	ボブ は 2018 年 に は フランス に 帰国 して いた 。	neutral	1	年	random	以来（状態動詞）
31	2006 年 以来 、 ビクター は 保険 に 加入 して いる 。 現在 、 2005 年 である 。	ビクター は 2009 年 に は 保険 に 加入 して いた 。	neutral	1	年	random	以来（状態動詞）
32	2002 年 以来 、 フランク は 伝え に 参って いる 。 現在 、 2000 年 である 。	フランク は 2014 年 に は 伝え に 参って いた 。	neutral	1	年	random	以来（状態動詞）
33	2013 年 以来 、 キャロル は 主人 に 会って いる 。 現在 、 2002 年 である 。	キャロル は 2016 年 に は 主人 に 会って いた 。	neutral	1	年	random	以来（状態動詞）
34	2010 年 以来 、 エレン は シート に 作成 して いる 。 現在 、 2001 年 である 。	エレン は 2013 年 に は シート に 作成 して いた 。	neutral	1	年	random	以来（状態動詞）
35	2000 年 以来 、 スティーブ は 兵庫 に 帰って いる 。 現在 、 2018 年 である 。	スティーブ は 2002 年 に は 兵庫 に 帰って いた 。	entailment	1	年	random	以来（状態動詞）
36	2009 年 以来 、 ペギー は ジャパン に 出場 して いる 。 現在 、 2014 年 である 。	ペギー は 2016 年 に は ジャパン に 出場 して いた 。	neutral	1	年	random	以来（状態動詞）
37	2000 年 以来 、 ビクター は 出迎え に 参って いる 。 現在 、 2009 年 である 。	ビクター は 2008 年 に は 出迎え に 参って いた 。	entailment	1	年	random	以来（状態動詞）
38	2010 年 以来 、 スティーブ は 弔問 に 伺って いる 。 現在 、 2014 年 である 。	スティーブ は 2013 年 に は 弔問 に 伺って いた 。	entailment	1	年	random	以来（状態動詞）
39	2009 年 以来 、 エレン は 相手 に 繰り広げて いる 。 現在 、 2018 年 である 。	エレン は 2013 年 に は 相手 に 繰り広げて いた 。	entailment	1	年	random	以来（状態動詞）
40	2000 年 以来 、 ウォルター は 日本 に 多 かって いる 。 現在 、 2018 年 である 。	ウォルター は 2004 年 に は 日本 に 多 かって いた 。	entailment	1	年	random	以来（状態動詞）
41	2014 年 以来 、 マチルダ は 精神 科 に 入院 して いる 。 現在 、 2015 年 である 。	マチルダ は 2016 年 に は 精神 科 に 入院 して いた 。	neutral	1	年	short	以来（状態動詞）
42	2012 年 以来 、 アイザック は ゲスト に 迎えて いる 。 現在 、 2016 年 である 。	アイザック は 2013 年 に は ゲスト に 迎えて いた 。	entailment	1	年	short	以来（状態動詞）
43	2013 年 以来 、 プロッド は 会 に 出して いる 。 現在 、 2010 年 である 。	プロッド は 2014 年 に は 会 に 出して いた 。	neutral	1	年	short	以来（状態動詞）
44	2008 年 以来 、 キャロル は シリーズ に 参戦 して いる 。 現在 、 2006 年 である 。	キャロル は 2007 年 に は シリーズ に 参戦 して いた 。	contradiction	1	年	short	以来（状態動詞）
45	2006 年 以来 、 オスカー は 彼 に 入れて いる 。 現在 、 2004 年 である 。	オスカー は 2008 年 に は 彼 に 入れて いた 。	neutral	1	年	short	以来（状態動詞）
46	2011 年 以来 、 トルーディー は 距離 に 鳴って いる 。 現在 、 2013 年 である 。	トルーディー は 2014 年 に は 距離 に 鳴って いた 。	neutral	1	年	short	以来（状態動詞）
47	2002 年 以来 、 マーヴィン は 休み に 開いて いる 。 現在 、 2000 年 である 。	マーヴィン は 2003 年 に は 休み に 開いて いた 。	neutral	1	年	short	以来（状態動詞）
48	2017 年 以来 、 フランク は 近く に オープン して いる 。 現在 、 2018 年 である 。	フランク は 2016 年 に は 近く に オープン して いた 。	contradiction	1	年	short	以来（状態動詞）
49	2001 年 以来 、 スティーブ は アドレス に 届けて いる 。 現在 、 2003 年 である 。	スティーブ は 2002 年 に は アドレス に 届けて いた 。	entailment	1	年	short	以来（状態動詞）
50	2014 年 以来 、 ウォルター は 表 に 出して いる 。 現在 、 2013 年 である 。	ウォルター は 2010 年 に は 表 に 出して いた 。	contradiction	1	年	short	以来（状態動詞）
51	2004 年 以来 、 トルーディー は サイト に 支払って いる 。 現在 、 2002 年 である 。	トルーディー は 2003 年 に は サイト に 支払って いた 。	contradiction	1	年	short	以来（状態動詞）
52	2017 年 以来 、 パット は 全員 に 当たって いる 。 現在 、 2020 年 である 。	パット は 2018 年 に は 全員 に 当たって いた 。	entailment	1	年	short	以来（状態動詞）
53	2015 年 以来 、 イヴァン は 先生 に 訴えて いる 。 現在 、 2016 年 である 。	イヴァン は 2014 年 に は 先生 に 訴えて いた 。	contradiction	1	年	short	以来（状態動詞）
54	2005 年 以来 、 プロッド は 商談 に 応じて いる 。 現在 、 2003 年 である 。	プロッド は 2004 年 に は 商談 に 応じて いた 。	contradiction	1	年	short	以来（状態動詞）
55	2013 年 以来 、 アリス は 以下 に 定めて いる 。 現在 、 2011 年 である 。	アリス は 2012 年 に は 以下 に 定めて いた 。	contradiction	1	年	short	以来（状態動詞）
56	2005 年 以来 、 マロリー は デスノート に 書いて いる 。 現在 、 2003 年 である 。	マロリー は 2006 年 に は デスノート に 書いて いた 。	neutral	1	年	short	以来（状態動詞）
57	2011 年 以来 、 ウォルター は ブログ に 貰って いる 。 現在 、 2010 年 である 。	ウォルター は 2009 年 に は ブログ に 貰って いた 。	contradiction	1	年	short	以来（状態動詞）
58	2004 年 以来 、 ペギー は 市長 選 に 表明 して いる 。 現在 、 2006 年 である 。	ペギー は 2003 年 に は 市長 選 に 表明 して いた 。	contradiction	1	年	short	以来（状態動詞）
59	2010 年 以来 、 プロッド は 大切 さ に 気付いて いる 。 現在 、 2008 年 である 。	プロッド は 2007 年 に は 大切 さ に 気付いて いた 。	contradiction	1	年	short	以来（状態動詞）
60	2016 年 以来 、 ボブ は 相手 に 収めて いる 。 現在 、 2017 年 である 。	ボブ は 2018 年 に は 相手 に 収めて いた 。	neutral	1	年	short	以来（状態動詞）
61	2012 年 以来 、 キャロル は 取り付け に きて いる 。 現在 、 2014 年 である 。	キャロル は 2013 年 に は 取り付け に きて いた 。	entailment	1	年	short	以来（状態動詞）
62	2008 年 以来 、 アイザック は 手 に 入って いる 。 現在 、 2009 年 である 。	アイザック は 2012 年 に は 手 に 入って いた 。	neutral	1	年	short	以来（状態動詞）
63	2004 年 以来 、 フランク は アメリカ に やってきて いる 。 現在 、 2007 年 である 。	フランク は 2005 年 に は アメリカ に やってきて いた 。	entailment	1	年	short	以来（状態動詞）
64	2008 年 以来 、 スティーブ は スーパー に 運んで いる 。 現在 、 2012 年 である 。	スティーブ は 2009 年 に は スーパー に 運んで いた 。	entailment	1	年	short	以来（状態動詞）
65	2010 年 以来 、 ペギー は 連絡 に 応じて いる 。 現在 、 2012 年 である 。	ペギー は 2011 年 に は 連絡 に 応じて いた 。	entailment	1	年	short	以来（状態動詞）
66	2011 年 以来 、 ペギー は 冒頭 に 書いて いる 。 現在 、 2009 年 である 。	ペギー は 2012 年 に は 冒頭 に 書いて いた 。	neutral	1	年	short	以来（状態動詞）
67	2005 年 以来 、 トルーディー は テーブル に 案内 して いる 。 現在 、 2003 年 である 。	トルーディー は 2007 年 に は テーブル に 案内 して いた 。	neutral	1	年	short	以来（状態動詞）
68	2005 年 以来 、 オスカー は 相手 に 達成 して いる 。 現在 、 2007 年 である 。	オスカー は 2006 年 に は 相手 に 達成 して いた 。	entailment	1	年	short	以来（状態動詞）
69	2011 年 以来 、 ボブ は 贈与 に 罹って いる 。 現在 、 2013 年 である 。	ボブ は 2012 年 に は 贈与 に 罹って いた 。	entailment	1	年	short	以来（状態動詞）
70	2003 年 以来 、 トレント は 希望 者 に 行って いる 。 現在 、 2006 年 である 。	トレント は 2004 年 に は 希望 者 に 行って いた 。	entailment	1	年	short	以来（状態動詞）
71	2013 年 6 月 以来 、 オスカー は 黄身 に 会って いる 。 現在 、 2014 年 2 月 である 。	オスカー は 2009 年 12 月 に は 黄身 に 会って いた 。	contradiction	1	年月	random	以来（状態動詞）
72	2019 年 8 月 以来 、 イブ は 部屋 に 案内 して いる 。 現在 、 2010 年 6 月 である 。	イブ は 2007 年 10 月 に は 部屋 に 案内 して いた 。	contradiction	1	年月	random	以来（状態動詞）
73	2020 年 3 月 以来 、 ウォルター は 言葉 に 揚げて いる 。 現在 、 2006 年 8 月 である 。	ウォルター は 2016 年 2 月 に は 言葉 に 揚げて いた 。	contradiction	1	年月	random	以来（状態動詞）
74	2010 年 9 月 以来 、 パット は 世界 に 案内 して いる 。 現在 、 2020 年 11 月 である 。	パット は 2017 年 8 月 に は 世界 に 案内 して いた 。	entailment	1	年月	random	以来（状態動詞）
75	2012 年 8 月 以来 、 マロリー は 世界 に 案内 して いる 。 現在 、 2002 年 11 月 である 。	マロリー は 2010 年 11 月 に は 世界 に 案内 して いた 。	contradiction	1	年月	random	以来（状態動詞）
76	2001 年 7 月 以来 、 マレット は 山形 に 居る 。 現在 、 2019 年 6 月 である 。	マレット は 2015 年 2 月 に は 山形 に 居った 。	entailment	1	年月	random	以来（状態動詞）
77	2009 年 3 月 以来 、 ゾーイ は 報道 陣 に 語って いる 。 現在 、 2015 年 5 月 である 。	ゾーイ は 2020 年 1 月 に は 報道 陣 に 語って いた 。	neutral	1	年月	random	以来（状態動詞）
78	2009 年 7 月 以来 、 チャーリー は バージョン に 更新 して いる 。 現在 、 2002 年 5 月 である 。	チャーリー は 2002 年 3 月 に は バージョン に 更新 して いた 。	contradiction	1	年月	random	以来（状態動詞）
79	2004 年 1 月 以来 、 パット は 海外 に 送って いる 。 現在 、 2001 年 6 月 である 。	パット は 2000 年 3 月 に は 海外 に 送って いた 。	contradiction	1	年月	random	以来（状態動詞）
80	2014 年 6 月 以来 、 アイザック は 京都 に 引っ越して いる 。 現在 、 2020 年 11 月 である 。	アイザック は 2018 年 12 月 に は 京都 に 引っ越して いた 。	entailment	1	年月	random	以来（状態動詞）
81	2018 年 2 月 以来 、 ビクター は 工場 に きて いる 。 現在 、 2013 年 2 月 である 。	ビクター は 2002 年 3 月 に は 工場 に きて いた 。	contradiction	1	年月	random	以来（状態動詞）
82	2012 年 7 月 以来 、 エレン は 両親 に 下げて いる 。 現在 、 2018 年 6 月 である 。	エレン は 2002 年 11 月 に は 両親 に 下げて いた 。	contradiction	1	年月	random	以来（状態動詞）
83	2006 年 12 月 以来 、 マチルダ は 早稲田 に 進学 して いる 。 現在 、 2009 年 5 月 である 。	マチルダ は 2010 年 8 月 に は 早稲田 に 進学 して いた 。	neutral	1	年月	random	以来（状態動詞）
84	2006 年 6 月 以来 、 ビクター は 方向 に 打って いる 。 現在 、 2008 年 9 月 である 。	ビクター は 2012 年 5 月 に は 方向 に 打って いた 。	neutral	1	年月	random	以来（状態動詞）
85	2010 年 2 月 以来 、 アリス は 園 に 入園 して いる 。 現在 、 2019 年 1 月 である 。	アリス は 2006 年 1 月 に は 園 に 入園 して いた 。	contradiction	1	年月	random	以来（状態動詞）
86	2016 年 3 月 以来 、 トルーディー は リサーチ に 出掛けて いる 。 現在 、 2007 年 7 月 である 。	トルーディー は 2007 年 6 月 に は リサーチ に 出掛けて いた 。	contradiction	1	年月	random	以来（状態動詞）
87	2001 年 12 月 以来 、 マーヴィン は 半分 に 切って いる 。 現在 、 2002 年 4 月 である 。	マーヴィン は 2020 年 3 月 に は 半分 に 切って いた 。	neutral	1	年月	random	以来（状態動詞）
88	2007 年 9 月 以来 、 イブ は 一口 大 に 切って いる 。 現在 、 2005 年 8 月 である 。	イブ は 2010 年 4 月 に は 一口 大 に 切って いた 。	neutral	1	年月	random	以来（状態動詞）
89	2004 年 11 月 以来 、 フランク は 巨人 に 勝って いる 。 現在 、 2002 年 7 月 である 。	フランク は 2019 年 10 月 に は 巨人 に 勝って いた 。	neutral	1	年月	random	以来（状態動詞）
90	2013 年 2 月 以来 、 キャロル は 国 に やってきて いる 。 現在 、 2002 年 5 月 である 。	キャロル は 2016 年 12 月 に は 国 に やってきて いた 。	neutral	1	年月	random	以来（状態動詞）
91	2009 年 6 月 以来 、 アイザック は 小学校 に 合格 して いる 。 現在 、 2006 年 12 月 である 。	アイザック は 2016 年 3 月 に は 小学校 に 合格 して いた 。	neutral	1	年月	random	以来（状態動詞）
92	2000 年 2 月 以来 、 デイヴ は 選手 に 喫して いる 。 現在 、 2020 年 1 月 である 。	デイヴ は 2016 年 2 月 に は 選手 に 喫して いた 。	entailment	1	年月	random	以来（状態動詞）
93	2008 年 9 月 以来 、 イヴァン は 肥満 に 突けて いる 。 現在 、 2005 年 3 月 である 。	イヴァン は 2016 年 8 月 に は 肥満 に 突けて いた 。	neutral	1	年月	random	以来（状態動詞）
94	2002 年 8 月 以来 、 ウォルター は ブログ に 出して いる 。 現在 、 2008 年 2 月 である 。	ウォルター は 2003 年 8 月 に は ブログ に 出して いた 。	entailment	1	年月	random	以来（状態動詞）
95	2004 年 5 月 以来 、 ペギー は 役所 に 訪問 して いる 。 現在 、 2005 年 7 月 である 。	ペギー は 2008 年 3 月 に は 役所 に 訪問 して いた 。	neutral	1	年月	random	以来（状態動詞）
96	2010 年 6 月 以来 、 デイヴ は 辺り に 居る 。 現在 、 2019 年 8 月 である 。	デイヴ は 2016 年 9 月 に は 辺り に 居った 。	entailment	1	年月	random	以来（状態動詞）
97	2009 年 10 月 以来 、 プロッド は 湘南 に 待って いる 。 現在 、 2020 年 9 月 である 。	プロッド は 2016 年 11 月 に は 湘南 に 待って いた 。	entailment	1	年月	random	以来（状態動詞）
98	2000 年 11 月 以来 、 アリス は 職員 に 世話 して いる 。 現在 、 2019 年 8 月 である 。	アリス は 2018 年 12 月 に は 職員 に 世話 して いた 。	entailment	1	年月	random	以来（状態動詞）
99	2004 年 7 月 以来 、 ペギー は 使用 に 鳴れて いる 。 現在 、 2015 年 5 月 である 。	ペギー は 2006 年 3 月 に は 使用 に 鳴れて いた 。	entailment	1	年月	random	以来（状態動詞）
100	2002 年 9 月 以来 、 キャロル は 彼女 に 贈って いる 。 現在 、 2014 年 7 月 である 。	キャロル は 2009 年 6 月 に は 彼女 に 贈って いた 。	entailment	1	年月	random	以来（状態動詞）
101	2008 年 7 月 以来 、 フランク は 胸 に 抱き締めて いる 。 現在 、 2008 年 6 月 である 。	フランク は 2008 年 9 月 に は 胸 に 抱き締めて いた 。	neutral	1	年月	short	以来（状態動詞）
102	2020 年 7 月 以来 、 ゾーイ は 市長 に 述べて いる 。 現在 、 2020 年 5 月 である 。	ゾーイ は 2020 年 6 月 に は 市長 に 述べて いた 。	contradiction	1	年月	short	以来（状態動詞）
103	2015 年 2 月 以来 、 デイヴ は 始め に 亡くなって いる 。 現在 、 2015 年 5 月 である 。	デイヴ は 2015 年 4 月 に は 始め に 亡くなって いた 。	entailment	1	年月	short	以来（状態動詞）
104	2016 年 3 月 以来 、 プロッド は 家 に 案内 して いる 。 現在 、 2016 年 5 月 である 。	プロッド は 2016 年 4 月 に は 家 に 案内 して いた 。	entailment	1	年月	short	以来（状態動詞）
105	2005 年 3 月 以来 、 イブ は 取り消し に 罹って いる 。 現在 、 2005 年 5 月 である 。	イブ は 2005 年 4 月 に は 取り消し に 罹って いた 。	entailment	1	年月	short	以来（状態動詞）
106	2020 年 6 月 以来 、 マロリー は 様 に 遊んで いる 。 現在 、 2020 年 9 月 である 。	マロリー は 2020 年 7 月 に は 様 に 遊んで いた 。	entailment	1	年月	short	以来（状態動詞）
107	2019 年 7 月 以来 、 ゾーイ は 保育 園 に 入園 して いる 。 現在 、 2019 年 5 月 である 。	ゾーイ は 2019 年 4 月 に は 保育 園 に 入園 して いた 。	contradiction	1	年月	short	以来（状態動詞）
108	2001 年 6 月 以来 、 ジャスティン は 修理 に きて いる 。 現在 、 2001 年 9 月 である 。	ジャスティン は 2001 年 7 月 に は 修理 に きて いた 。	entailment	1	年月	short	以来（状態動詞）
109	2011 年 1 月 以来 、 フランク は 推進 に 果たして いる 。 現在 、 2011 年 2 月 である 。	フランク は 2011 年 3 月 に は 推進 に 果たして いた 。	neutral	1	年月	short	以来（状態動詞）
110	2019 年 9 月 以来 、 アイザック は 相手 に 果たして いる 。 現在 、 2019 年 6 月 である 。	アイザック は 2019 年 8 月 に は 相手 に 果たして いた 。	contradiction	1	年月	short	以来（状態動詞）
111	2015 年 2 月 以来 、 トレント は 夕食 に 造って いる 。 現在 、 2015 年 3 月 である 。	トレント は 2015 年 1 月 に は 夕食 に 造って いた 。	contradiction	1	年月	short	以来（状態動詞）
112	2004 年 7 月 以来 、 トレント は 雑誌 に 発表 して いる 。 現在 、 2004 年 6 月 である 。	トレント は 2004 年 5 月 に は 雑誌 に 発表 して いた 。	contradiction	1	年月	short	以来（状態動詞）
113	2018 年 8 月 以来 、 デイヴ は 当社 に 支払って いる 。 現在 、 2018 年 9 月 である 。	デイヴ は 2018 年 11 月 に は 当社 に 支払って いた 。	neutral	1	年月	short	以来（状態動詞）
114	2015 年 7 月 以来 、 トレント は 客 に 案内 して いる 。 現在 、 2015 年 8 月 である 。	トレント は 2015 年 10 月 に は 客 に 案内 して いた 。	neutral	1	年月	short	以来（状態動詞）
115	2017 年 2 月 以来 、 マロリー は サイエンス に 発表 して いる 。 現在 、 2017 年 1 月 である 。	マロリー は 2017 年 3 月 に は サイエンス に 発表 して いた 。	neutral	1	年月	short	以来（状態動詞）
116	2018 年 5 月 以来 、 スティーブ は 支援 に 述べて いる 。 現在 、 2018 年 3 月 である 。	スティーブ は 2018 年 2 月 に は 支援 に 述べて いた 。	contradiction	1	年月	short	以来（状態動詞）
117	2016 年 5 月 以来 、 デイヴ は メーカー に 致して いる 。 現在 、 2016 年 6 月 である 。	デイヴ は 2016 年 4 月 に は メーカー に 致して いた 。	contradiction	1	年月	short	以来（状態動詞）
118	2000 年 5 月 以来 、 キャロル は 子 に 教えて いる 。 現在 、 2000 年 6 月 である 。	キャロル は 2000 年 7 月 に は 子 に 教えて いた 。	neutral	1	年月	short	以来（状態動詞）
119	2013 年 9 月 以来 、 フランク は ヘルシンキ に 到着 して いる 。 現在 、 2013 年 7 月 である 。	フランク は 2013 年 8 月 に は ヘルシンキ に 到着 して いた 。	contradiction	1	年月	short	以来（状態動詞）
120	2020 年 6 月 以来 、 キャロル は 拍子 に 落ちて いる 。 現在 、 2020 年 4 月 である 。	キャロル は 2020 年 7 月 に は 拍子 に 落ちて いた 。	neutral	1	年月	short	以来（状態動詞）
121	2015 年 3 月 以来 、 ゾーイ は 全員 に 繰れて いる 。 現在 、 2015 年 6 月 である 。	ゾーイ は 2015 年 4 月 に は 全員 に 繰れて いた 。	entailment	1	年月	short	以来（状態動詞）
122	2014 年 4 月 以来 、 プロッド は 会員 に 支払って いる 。 現在 、 2014 年 5 月 である 。	プロッド は 2014 年 3 月 に は 会員 に 支払って いた 。	contradiction	1	年月	short	以来（状態動詞）
123	2010 年 4 月 以来 、 イブ は 相手 に 達成 して いる 。 現在 、 2010 年 5 月 である 。	イブ は 2010 年 3 月 に は 相手 に 達成 して いた 。	contradiction	1	年月	short	以来（状態動詞）
124	2001 年 4 月 以来 、 ペギー は 監督 に 発表 して いる 。 現在 、 2001 年 7 月 である 。	ペギー は 2001 年 5 月 に は 監督 に 発表 して いた 。	entailment	1	年月	short	以来（状態動詞）
125	2020 年 10 月 以来 、 プロッド は 警察 署 に 出して いる 。 現在 、 2020 年 9 月 である 。	プロッド は 2020 年 11 月 に は 警察 署 に 出して いた 。	neutral	1	年月	short	以来（状態動詞）
126	2018 年 8 月 以来 、 イヴァン は チェコ に 勝って いる 。 現在 、 2018 年 11 月 である 。	イヴァン は 2018 年 9 月 に は チェコ に 勝って いた 。	entailment	1	年月	short	以来（状態動詞）
127	2002 年 1 月 以来 、 ジャスティン は 提案 に 乗って いる 。 現在 、 2002 年 3 月 である 。	ジャスティン は 2002 年 2 月 に は 提案 に 乗って いた 。	entailment	1	年月	short	以来（状態動詞）
128	2003 年 7 月 以来 、 オスカー は トイレ に 立って いる 。 現在 、 2003 年 9 月 である 。	オスカー は 2003 年 8 月 に は トイレ に 立って いた 。	entailment	1	年月	short	以来（状態動詞）
129	2019 年 5 月 以来 、 パット は 学生 に 行って いる 。 現在 、 2019 年 4 月 である 。	パット は 2019 年 6 月 に は 学生 に 行って いた 。	neutral	1	年月	short	以来（状態動詞）
130	2006 年 4 月 以来 、 エレン は 御国 に 帰って いる 。 現在 、 2006 年 5 月 である 。	エレン は 2006 年 6 月 に は 御国 に 帰って いた 。	neutral	1	年月	short	以来（状態動詞）
131	2004 年 2 月 7 日 以来 、 ボブ は 皆さん に 述べて いる 。 現在 、 2000 年 12 月 31 日 である 。	ボブ は 2016 年 1 月 25 日 に は 皆さん に 述べて いた 。	neutral	1	年月日	random	以来（状態動詞）
132	2013 年 4 月 8 日 以来 、 デイヴ は 客 に 受けて いる 。 現在 、 2017 年 6 月 13 日 である 。	デイヴ は 2004 年 7 月 12 日 に は 客 に 受けて いた 。	contradiction	1	年月日	random	以来（状態動詞）
133	2000 年 6 月 9 日 以来 、 イブ は 胸 に 抱き締めて いる 。 現在 、 2007 年 8 月 1 日 である 。	イブ は 2007 年 4 月 16 日 に は 胸 に 抱き締めて いた 。	entailment	1	年月日	random	以来（状態動詞）
134	2016 年 6 月 6 日 以来 、 アリス は 日本 国 に 鋳て いる 。 現在 、 2015 年 7 月 29 日 である 。	アリス は 2017 年 3 月 21 日 に は 日本 国 に 鋳て いた 。	neutral	1	年月日	random	以来（状態動詞）
135	2018 年 5 月 10 日 以来 、 マチルダ は 高原 に やってきて いる 。 現在 、 2012 年 10 月 29 日 である 。	マチルダ は 2001 年 2 月 9 日 に は 高原 に やってきて いた 。	contradiction	1	年月日	random	以来（状態動詞）
136	2007 年 4 月 15 日 以来 、 デイヴ は 内覧 会 に 参加 して いる 。 現在 、 2016 年 10 月 30 日 である 。	デイヴ は 2009 年 12 月 12 日 に は 内覧 会 に 参加 して いた 。	entailment	1	年月日	random	以来（状態動詞）
137	2004 年 3 月 11 日 以来 、 ビクター は ショー に 出場 して いる 。 現在 、 2019 年 3 月 25 日 である 。	ビクター は 2009 年 5 月 28 日 に は ショー に 出場 して いた 。	entailment	1	年月日	random	以来（状態動詞）
138	2011 年 10 月 6 日 以来 、 イヴァン は 大会 に 決まって いる 。 現在 、 2009 年 3 月 11 日 である 。	イヴァン は 2004 年 10 月 14 日 に は 大会 に 決まって いた 。	contradiction	1	年月日	random	以来（状態動詞）
139	2016 年 10 月 20 日 以来 、 エレン は 写真 に 居る 。 現在 、 2000 年 9 月 24 日 である 。	エレン は 2001 年 1 月 24 日 に は 写真 に 居った 。	contradiction	1	年月日	random	以来（状態動詞）
