num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
57	2008年以来、トルーディーはたびに付いている。現在、2005年である。	トルーディーは2003年にはたびに付いていた。	contradiction	1	年	short	以来（状態動詞）
58	2013年以来、イヴァンは首位に切っている。現在、2010年である。	イヴァンは2011年には首位に切っていた。	contradiction	1	年	short	以来（状態動詞）
59	2006年以来、ウォルターはスタンドに放っている。現在、2005年である。	ウォルターは2001年にはスタンドに放っていた。	contradiction	1	年	short	以来（状態動詞）
60	2019年以来、フランクは帰り道に会っている。現在、2015年である。	フランクは2016年には帰り道に会っていた。	contradiction	1	年	short	以来（状態動詞）
61	2015年以来、アリスは部屋に案内している。現在、2014年である。	アリスは2017年には部屋に案内していた。	neutral	1	年	short	以来（状態動詞）
62	2005年以来、マチルダはキャンプに予定している。現在、2003年である。	マチルダは2006年にはキャンプに予定していた。	neutral	1	年	short	以来（状態動詞）
63	2010年以来、ペギーはカフェに居る。現在、2011年である。	ペギーは2013年にはカフェに居った。	neutral	1	年	short	以来（状態動詞）
64	2001年以来、アイザックは後ろに引いている。現在、2002年である。	アイザックは2005年には後ろに引いていた。	neutral	1	年	short	以来（状態動詞）
65	2014年以来、アリスは横に振るっている。現在、2018年である。	アリスは2019年には横に振るっていた。	neutral	1	年	short	以来（状態動詞）
66	2013年以来、スティーブは君に贈っている。現在、2015年である。	スティーブは2017年には君に贈っていた。	neutral	1	年	short	以来（状態動詞）
67	2006年以来、トルーディーは目黒にきている。現在、2004年である。	トルーディーは2008年には目黒にきていた。	neutral	1	年	short	以来（状態動詞）
68	2004年以来、アイザックは徳島にやってきている。現在、2003年である。	アイザックは2005年には徳島にやってきていた。	neutral	1	年	short	以来（状態動詞）
69	2011年以来、ウォルターは強盗に会っている。現在、2010年である。	ウォルターは2013年には強盗に会っていた。	neutral	1	年	short	以来（状態動詞）
70	2007年以来、イヴァンはルームに居る。現在、2004年である。	イヴァンは2009年にはルームに居った。	neutral	1	年	short	以来（状態動詞）
71	2002年8月以来、スティーブは逆手に取っている。現在、2008年3月である。	スティーブは2006年4月には逆手に取っていた。	entailment	1	年月	random	以来（状態動詞）
72	2002年3月以来、アイザックは店に払っている。現在、2012年8月である。	アイザックは2004年2月には店に払っていた。	entailment	1	年月	random	以来（状態動詞）
73	2000年6月以来、チャーリーは休みに出ている。現在、2004年12月である。	チャーリーは2003年1月には休みに出ていた。	entailment	1	年月	random	以来（状態動詞）
74	2003年11月以来、ビクターは近くにオープンしている。現在、2014年5月である。	ビクターは2011年9月には近くにオープンしていた。	entailment	1	年月	random	以来（状態動詞）
75	2000年8月以来、マロリーはメーンに選んでいる。現在、2015年12月である。	マロリーは2001年9月にはメーンに選んでいた。	entailment	1	年月	random	以来（状態動詞）
76	2006年3月以来、イブは団体に行っている。現在、2008年3月である。	イブは2007年9月には団体に行っていた。	entailment	1	年月	random	以来（状態動詞）
77	2004年1月以来、アリスは評判に付いている。現在、2018年7月である。	アリスは2014年1月には評判に付いていた。	entailment	1	年月	random	以来（状態動詞）
78	2006年5月以来、イヴァンは被災地に送っている。現在、2014年7月である。	イヴァンは2012年2月には被災地に送っていた。	entailment	1	年月	random	以来（状態動詞）
79	2005年5月以来、ビクターは半分に切っている。現在、2011年10月である。	ビクターは2007年9月には半分に切っていた。	entailment	1	年月	random	以来（状態動詞）
80	2004年11月以来、マーヴィンは御挨拶に伺っている。現在、2016年6月である。	マーヴィンは2013年2月には御挨拶に伺っていた。	entailment	1	年月	random	以来（状態動詞）
81	2008年10月以来、マチルダは国に払っている。現在、2005年3月である。	マチルダは2007年5月には国に払っていた。	contradiction	1	年月	random	以来（状態動詞）
82	2009年11月以来、ペギーは観光に案内している。現在、2020年5月である。	ペギーは2007年12月には観光に案内していた。	contradiction	1	年月	random	以来（状態動詞）
83	2010年2月以来、ボブは手元にやってきている。現在、2002年10月である。	ボブは2008年12月には手元にやってきていた。	contradiction	1	年月	random	以来（状態動詞）
84	2012年5月以来、マーヴィンは身に付いている。現在、2011年12月である。	マーヴィンは2009年11月には身に付いていた。	contradiction	1	年月	random	以来（状態動詞）
85	2018年2月以来、トレントはレッスンにやってきている。現在、2004年6月である。	トレントは2000年9月にはレッスンにやってきていた。	contradiction	1	年月	random	以来（状態動詞）
86	2018年2月以来、オスカーは体に伸ばしている。現在、2014年1月である。	オスカーは2000年1月には体に伸ばしていた。	contradiction	1	年月	random	以来（状態動詞）
87	2016年8月以来、イヴァンは青山にオープンしている。現在、2018年9月である。	イヴァンは2012年1月には青山にオープンしていた。	contradiction	1	年月	random	以来（状態動詞）
88	2019年11月以来、ボブは保育園に通えている。現在、2018年11月である。	ボブは2002年6月には保育園に通えていた。	contradiction	1	年月	random	以来（状態動詞）
89	2020年2月以来、オスカーはサイエンスに発表している。現在、2006年3月である。	オスカーは2000年9月にはサイエンスに発表していた。	contradiction	1	年月	random	以来（状態動詞）
90	2019年6月以来、イブは大統領に提出している。現在、2015年6月である。	イブは2007年12月には大統領に提出していた。	contradiction	1	年月	random	以来（状態動詞）
91	2007年4月以来、ジャスティンは店に払っている。現在、2000年8月である。	ジャスティンは2008年5月には店に払っていた。	neutral	1	年月	random	以来（状態動詞）
92	2015年11月以来、マチルダはメーンに選んでいる。現在、2006年11月である。	マチルダは2017年10月にはメーンに選んでいた。	neutral	1	年月	random	以来（状態動詞）
93	2002年12月以来、トルーディーは弁当に付いている。現在、2000年3月である。	トルーディーは2014年9月には弁当に付いていた。	neutral	1	年月	random	以来（状態動詞）
94	2000年3月以来、スティーブは家族に申し上げている。現在、2005年8月である。	スティーブは2015年1月には家族に申し上げていた。	neutral	1	年月	random	以来（状態動詞）
95	2005年4月以来、ボブは計画に定めている。現在、2009年6月である。	ボブは2010年12月には計画に定めていた。	neutral	1	年月	random	以来（状態動詞）
96	2011年1月以来、オスカーは県庁に訪問している。現在、2005年11月である。	オスカーは2018年4月には県庁に訪問していた。	neutral	1	年月	random	以来（状態動詞）
97	2015年7月以来、ペギーは相手に喫している。現在、2007年11月である。	ペギーは2015年12月には相手に喫していた。	neutral	1	年月	random	以来（状態動詞）
98	2006年10月以来、マーヴィンは東京にやってきている。現在、2010年1月である。	マーヴィンは2013年1月には東京にやってきていた。	neutral	1	年月	random	以来（状態動詞）
99	2000年8月以来、マーヴィンは参加者に贈呈している。現在、2013年6月である。	マーヴィンは2015年8月には参加者に贈呈していた。	neutral	1	年月	random	以来（状態動詞）
100	2010年5月以来、イブは首位に切っている。現在、2012年11月である。	イブは2015年7月には首位に切っていた。	neutral	1	年月	random	以来（状態動詞）
101	2018年8月以来、ウォルターは閣僚に指示している。現在、2018年11月である。	ウォルターは2018年9月には閣僚に指示していた。	entailment	1	年月	short	以来（状態動詞）
102	2010年5月以来、イヴァンは信長に起こしている。現在、2010年7月である。	イヴァンは2010年6月には信長に起こしていた。	entailment	1	年月	short	以来（状態動詞）
103	2010年8月以来、イヴァンは議論に臨んでいる。現在、2010年10月である。	イヴァンは2010年9月には議論に臨んでいた。	entailment	1	年月	short	以来（状態動詞）
104	2017年2月以来、アリスは作りに出している。現在、2017年5月である。	アリスは2017年4月には作りに出していた。	entailment	1	年月	short	以来（状態動詞）
105	2019年2月以来、キャロルは上司に贈っている。現在、2019年5月である。	キャロルは2019年4月には上司に贈っていた。	entailment	1	年月	short	以来（状態動詞）
106	2009年8月以来、スティーブは友人に貰っている。現在、2009年10月である。	スティーブは2009年9月には友人に貰っていた。	entailment	1	年月	short	以来（状態動詞）
107	2009年5月以来、マーヴィンは業者に送っている。現在、2009年8月である。	マーヴィンは2009年6月には業者に送っていた。	entailment	1	年月	short	以来（状態動詞）
108	2006年4月以来、トレントは海外に移籍している。現在、2006年7月である。	トレントは2006年5月には海外に移籍していた。	entailment	1	年月	short	以来（状態動詞）
109	2006年2月以来、パットは子供に上げている。現在、2006年5月である。	パットは2006年3月には子供に上げていた。	entailment	1	年月	short	以来（状態動詞）
110	2009年6月以来、ビクターはゲートに到着している。現在、2009年8月である。	ビクターは2009年7月にはゲートに到着していた。	entailment	1	年月	short	以来（状態動詞）
111	2012年5月以来、キャロルは相手に繰り広げている。現在、2012年6月である。	キャロルは2012年3月には相手に繰り広げていた。	contradiction	1	年月	short	以来（状態動詞）
112	2000年10月以来、エレンは目の前にやってきている。現在、2000年8月である。	エレンは2000年9月には目の前にやってきていた。	contradiction	1	年月	short	以来（状態動詞）
113	2015年9月以来、デイヴは野球に進んでいる。現在、2015年7月である。	デイヴは2015年8月には野球に進んでいた。	contradiction	1	年月	short	以来（状態動詞）
114	2011年4月以来、ペギーは地区に変わっている。現在、2011年5月である。	ペギーは2011年3月には地区に変わっていた。	contradiction	1	年月	short	以来（状態動詞）
115	2004年7月以来、ジャスティンはメニューに予定している。現在、2004年6月である。	ジャスティンは2004年4月にはメニューに予定していた。	contradiction	1	年月	short	以来（状態動詞）
116	2003年5月以来、ウォルターはファイターズに入団している。現在、2003年4月である。	ウォルターは2003年3月にはファイターズに入団していた。	contradiction	1	年月	short	以来（状態動詞）
117	2017年5月以来、マチルダは友人に受けている。現在、2017年3月である。	マチルダは2017年2月には友人に受けていた。	contradiction	1	年月	short	以来（状態動詞）
118	2013年6月以来、ボブは先生に伺っている。現在、2013年7月である。	ボブは2013年5月には先生に伺っていた。	contradiction	1	年月	short	以来（状態動詞）
119	2016年5月以来、スティーブは部長に始めている。現在、2016年6月である。	スティーブは2016年4月には部長に始めていた。	contradiction	1	年月	short	以来（状態動詞）
120	2011年7月以来、トレントは車校に通っている。現在、2011年5月である。	トレントは2011年4月には車校に通っていた。	contradiction	1	年月	short	以来（状態動詞）
121	2003年7月以来、トルーディーは支持者に下げている。現在、2003年6月である。	トルーディーは2003年8月には支持者に下げていた。	neutral	1	年月	short	以来（状態動詞）
122	2017年1月以来、アイザックはガーデンにやってきている。現在、2017年2月である。	アイザックは2017年3月にはガーデンにやってきていた。	neutral	1	年月	short	以来（状態動詞）
123	2001年3月以来、スティーブはランキングに入賞している。現在、2001年5月である。	スティーブは2001年6月にはランキングに入賞していた。	neutral	1	年月	short	以来（状態動詞）
124	2014年1月以来、キャロルはコーナーに出演している。現在、2014年2月である。	キャロルは2014年3月にはコーナーに出演していた。	neutral	1	年月	short	以来（状態動詞）
125	2009年6月以来、ゾーイは奈良に到着している。現在、2009年7月である。	ゾーイは2009年8月には奈良に到着していた。	neutral	1	年月	short	以来（状態動詞）
126	2005年7月以来、ウォルターは彼に送っている。現在、2005年6月である。	ウォルターは2005年8月には彼に送っていた。	neutral	1	年月	short	以来（状態動詞）
127	2015年9月以来、プロッドは胸に抱き締めている。現在、2015年7月である。	プロッドは2015年10月には胸に抱き締めていた。	neutral	1	年月	short	以来（状態動詞）
128	2009年5月以来、マロリーは強盗に会っている。現在、2009年3月である。	マロリーは2009年6月には強盗に会っていた。	neutral	1	年月	short	以来（状態動詞）
129	2000年3月以来、プロッドは雑誌に発表している。現在、2000年4月である。	プロッドは2000年5月には雑誌に発表していた。	neutral	1	年月	short	以来（状態動詞）
130	2000年3月以来、チャーリーは子供に教えている。現在、2000年1月である。	チャーリーは2000年4月には子供に教えていた。	neutral	1	年月	short	以来（状態動詞）
251	6月以来、イヴァンは雑誌に発表している。現在、12月である。	イヴァンは8月には雑誌に発表していた。	entailment	1	月	random	以来（状態動詞）
252	3月以来、キャロルは医大に入院している。現在、11月である。	キャロルは4月には医大に入院していた。	entailment	1	月	random	以来（状態動詞）
253	3月以来、トルーディーは町に泊まっている。現在、8月である。	トルーディーは5月には町に泊まっていた。	entailment	1	月	random	以来（状態動詞）
254	5月以来、イヴァンは占拠に成功している。現在、12月である。	イヴァンは9月には占拠に成功していた。	entailment	1	月	random	以来（状態動詞）
255	4月以来、エレンは温度に使っている。現在、9月である。	エレンは7月には温度に使っていた。	entailment	1	月	random	以来（状態動詞）
256	1月以来、イヴァンは半分に切っている。現在、11月である。	イヴァンは8月には半分に切っていた。	entailment	1	月	random	以来（状態動詞）
257	5月以来、フランクは生活に受けている。現在、12月である。	フランクは10月には生活に受けていた。	entailment	1	月	random	以来（状態動詞）
258	1月以来、ビクターは歌合戦に出場している。現在、10月である。	ビクターは5月には歌合戦に出場していた。	entailment	1	月	random	以来（状態動詞）
259	1月以来、マロリーはメーンに選んでいる。現在、6月である。	マロリーは4月にはメーンに選んでいた。	entailment	1	月	random	以来（状態動詞）
260	1月以来、マレットはゲストに迎えている。現在、7月である。	マレットは5月にはゲストに迎えていた。	entailment	1	月	random	以来（状態動詞）
261	9月以来、フランクは甲府に移籍している。現在、7月である。	フランクは8月には甲府に移籍していた。	contradiction	1	月	random	以来（状態動詞）
262	11月以来、キャロルは茶に誘っている。現在、8月である。	キャロルは5月には茶に誘っていた。	contradiction	1	月	random	以来（状態動詞）
263	6月以来、ジャスティンは表１に纏めている。現在、5月である。	ジャスティンは3月には表１に纏めていた。	contradiction	1	月	random	以来（状態動詞）
264	12月以来、ビクターは通りに予定している。現在、3月である。	ビクターは1月には通りに予定していた。	contradiction	1	月	random	以来（状態動詞）
265	9月以来、マレットはロビーに現している。現在、1月である。	マレットは6月にはロビーに現していた。	contradiction	1	月	random	以来（状態動詞）
266	9月以来、チャーリーは日本に移籍している。現在、2月である。	チャーリーは6月には日本に移籍していた。	contradiction	1	月	random	以来（状態動詞）
267	10月以来、デイヴは団体に行っている。現在、2月である。	デイヴは3月には団体に行っていた。	contradiction	1	月	random	以来（状態動詞）
268	8月以来、アイザックは彼に取っている。現在、6月である。	アイザックは2月には彼に取っていた。	contradiction	1	月	random	以来（状態動詞）
269	12月以来、パットは御盆に世話している。現在、1月である。	パットは6月には御盆に世話していた。	contradiction	1	月	random	以来（状態動詞）
270	10月以来、マロリーはトリガに掛けている。現在、2月である。	マロリーは9月にはトリガに掛けていた。	contradiction	1	月	random	以来（状態動詞）
271	2月以来、アリスは雑誌に発表している。現在、8月である。	アリスは11月には雑誌に発表していた。	neutral	1	月	random	以来（状態動詞）
272	10月以来、エレンは順番に予定している。現在、9月である。	エレンは12月には順番に予定していた。	neutral	1	月	random	以来（状態動詞）
273	2月以来、アリスは世界に案内している。現在、3月である。	アリスは12月には世界に案内していた。	neutral	1	月	random	以来（状態動詞）
274	10月以来、ボブは相手に喫している。現在、7月である。	ボブは12月には相手に喫していた。	neutral	1	月	random	以来（状態動詞）
275	5月以来、ペギーは総会に予定している。現在、9月である。	ペギーは11月には総会に予定していた。	neutral	1	月	random	以来（状態動詞）
276	8月以来、イヴァンは支援に応じている。現在、7月である。	イヴァンは11月には支援に応じていた。	neutral	1	月	random	以来（状態動詞）
277	1月以来、トレントは胸に抱き締めている。現在、6月である。	トレントは8月には胸に抱き締めていた。	neutral	1	月	random	以来（状態動詞）
278	1月以来、フランクは協会に送っている。現在、3月である。	フランクは7月には協会に送っていた。	neutral	1	月	random	以来（状態動詞）
279	6月以来、ジャスティンは社長に提出している。現在、3月である。	ジャスティンは9月には社長に提出していた。	neutral	1	月	random	以来（状態動詞）
280	1月以来、マロリーは間に生まれている。現在、5月である。	マロリーは8月には間に生まれていた。	neutral	1	月	random	以来（状態動詞）
281	3月以来、ビクターは姿勢に貰っている。現在、5月である。	ビクターは4月には姿勢に貰っていた。	entailment	1	月	short	以来（状態動詞）
282	8月以来、ゾーイは雑誌に発表している。現在、10月である。	ゾーイは9月には雑誌に発表していた。	entailment	1	月	short	以来（状態動詞）
283	7月以来、チャーリーはイギリスにやってきている。現在、10月である。	チャーリーは8月にはイギリスにやってきていた。	entailment	1	月	short	以来（状態動詞）
284	8月以来、デイヴは対象に行っている。現在、10月である。	デイヴは9月には対象に行っていた。	entailment	1	月	short	以来（状態動詞）
285	6月以来、マロリーはサイズに生ずるている。現在、8月である。	マロリーは7月にはサイズに生ずるていた。	entailment	1	月	short	以来（状態動詞）
286	3月以来、アリスは経営に出している。現在、6月である。	アリスは5月には経営に出していた。	entailment	1	月	short	以来（状態動詞）
287	7月以来、アイザックは休みに開いている。現在、9月である。	アイザックは8月には休みに開いていた。	entailment	1	月	short	以来（状態動詞）
288	7月以来、イブは厚情に申し上げている。現在、10月である。	イブは9月には厚情に申し上げていた。	entailment	1	月	short	以来（状態動詞）
289	8月以来、マーヴィンは敵に会っている。現在、11月である。	マーヴィンは10月には敵に会っていた。	entailment	1	月	short	以来（状態動詞）
290	7月以来、ジャスティンは相手に収めている。現在、10月である。	ジャスティンは9月には相手に収めていた。	entailment	1	月	short	以来（状態動詞）
291	10月以来、デイヴはマザーズに果たしている。現在、9月である。	デイヴは7月にはマザーズに果たしていた。	contradiction	1	月	short	以来（状態動詞）
292	7月以来、トルーディーは相手に達成している。現在、8月である。	トルーディーは6月には相手に達成していた。	contradiction	1	月	short	以来（状態動詞）
293	11月以来、トレントは大臣に提出している。現在、10月である。	トレントは9月には大臣に提出していた。	contradiction	1	月	short	以来（状態動詞）
294	5月以来、ビクターは人間に近付いている。現在、6月である。	ビクターは4月には人間に近付いていた。	contradiction	1	月	short	以来（状態動詞）
295	5月以来、ボブは片手に歌っている。現在、7月である。	ボブは4月には片手に歌っていた。	contradiction	1	月	short	以来（状態動詞）
296	4月以来、フランクは遊びにやってきている。現在、2月である。	フランクは3月には遊びにやってきていた。	contradiction	1	月	short	以来（状態動詞）
297	11月以来、パットは御礼に歌っている。現在、9月である。	パットは8月には御礼に歌っていた。	contradiction	1	月	short	以来（状態動詞）
298	8月以来、イヴァンは友達に貰っている。現在、6月である。	イヴァンは5月には友達に貰っていた。	contradiction	1	月	short	以来（状態動詞）
299	8月以来、プロッドは中学生に教えている。現在、7月である。	プロッドは6月には中学生に教えていた。	contradiction	1	月	short	以来（状態動詞）
300	8月以来、トレントは世界に案内している。現在、6月である。	トレントは5月には世界に案内していた。	contradiction	1	月	short	以来（状態動詞）
301	6月以来、オスカーは皆様に御座いましている。現在、7月である。	オスカーは8月には皆様に御座いましていた。	neutral	1	月	short	以来（状態動詞）
302	4月以来、オスカーは福袋に並んでいる。現在、3月である。	オスカーは5月には福袋に並んでいた。	neutral	1	月	short	以来（状態動詞）
303	5月以来、アリスは部屋に案内している。現在、6月である。	アリスは7月には部屋に案内していた。	neutral	1	月	short	以来（状態動詞）
304	5月以来、マロリーは祝いに贈っている。現在、6月である。	マロリーは8月には祝いに贈っていた。	neutral	1	月	short	以来（状態動詞）
305	8月以来、スティーブはテーブルに登録している。現在、9月である。	スティーブは10月にはテーブルに登録していた。	neutral	1	月	short	以来（状態動詞）
306	2月以来、ジャスティンは隙に消している。現在、3月である。	ジャスティンは4月には隙に消していた。	neutral	1	月	short	以来（状態動詞）
307	2月以来、イブは途端に変えている。現在、1月である。	イブは3月には途端に変えていた。	neutral	1	月	short	以来（状態動詞）
308	2月以来、マーヴィンはセットに付いている。現在、3月である。	マーヴィンは4月にはセットに付いていた。	neutral	1	月	short	以来（状態動詞）
309	4月以来、イヴァンは日本に参戦している。現在、5月である。	イヴァンは6月には日本に参戦していた。	neutral	1	月	short	以来（状態動詞）
310	9月以来、マロリーは病院に通えている。現在、8月である。	マロリーは10月には病院に通えていた。	neutral	1	月	short	以来（状態動詞）
311	7月16日以来、ペギーは平定に成功している。現在、11月3日である。	ペギーは9月29日には平定に成功していた。	entailment	1	月日	random	以来（状態動詞）
312	2月7日以来、オスカーは世界に誘っている。現在、12月2日である。	オスカーは6月9日には世界に誘っていた。	entailment	1	月日	random	以来（状態動詞）
313	2月26日以来、スティーブは胸に抱き締めている。現在、9月25日である。	スティーブは7月4日には胸に抱き締めていた。	entailment	1	月日	random	以来（状態動詞）
314	1月9日以来、ボブは集金に伺っている。現在、5月22日である。	ボブは3月13日には集金に伺っていた。	entailment	1	月日	random	以来（状態動詞）
315	1月21日以来、ジャスティンは部隊に合流している。現在、6月26日である。	ジャスティンは5月10日には部隊に合流していた。	entailment	1	月日	random	以来（状態動詞）
316	4月11日以来、ゾーイは展示場に運んでいる。現在、8月19日である。	ゾーイは8月13日には展示場に運んでいた。	entailment	1	月日	random	以来（状態動詞）
317	8月20日以来、ジャスティンは部屋にやってきている。現在、12月30日である。	ジャスティンは12月8日には部屋にやってきていた。	entailment	1	月日	random	以来（状態動詞）
318	9月20日以来、アイザックは相手に向けている。現在、12月31日である。	アイザックは12月23日には相手に向けていた。	entailment	1	月日	random	以来（状態動詞）
