num	premise	hypothesis	gold_label	template_num	time_format	time_span
60	2013 年 以来 、 マレット は 布団 に 帰って いる 。 現在 、 2012 年 である 。	マレット は 2013 年 に は 布団 に 帰って いた 。	neutral	1	年	short
61	2015 年 以来 、 キャロル は 達成 に 持って いる 。 現在 、 2015 年 である 。	キャロル は 2015 年 に は 達成 に 持って いた 。	entailment	1	年	short
62	2012 年 以来 、 マチルダ は 委員 会 に 致して いる 。 現在 、 2015 年 である 。	マチルダ は 2013 年 に は 委員 会 に 致して いた 。	entailment	1	年	short
63	2003 年 以来 、 フランク は ヨーロッパ に 留学 して いる 。 現在 、 2006 年 である 。	フランク は 2002 年 に は ヨーロッパ に 留学 して いた 。	contradiction	1	年	short
64	2007 年 以来 、 ボブ は 下 に 引っ張って いる 。 現在 、 2006 年 である 。	ボブ は 2006 年 に は 下 に 引っ張って いた 。	contradiction	1	年	short
65	2005 年 以来 、 ウォルター は 明治 村 に 行って いる 。 現在 、 2004 年 である 。	ウォルター は 2001 年 に は 明治 村 に 行って いた 。	contradiction	1	年	short
66	2014 年 以来 、 エレン は 提案 に 載って いる 。 現在 、 2013 年 である 。	エレン は 2013 年 に は 提案 に 載って いた 。	contradiction	1	年	short
67	2015 年 以来 、 トレント は リク に 会って いる 。 現在 、 2015 年 である 。	トレント は 2013 年 に は リク に 会って いた 。	contradiction	1	年	short
68	2014 年 以来 、 ボブ は 映画 に 出掛けて いる 。 現在 、 2017 年 である 。	ボブ は 2014 年 に は 映画 に 出掛けて いた 。	entailment	1	年	short
69	2018 年 以来 、 イヴァン は 申込 に 鳴れて いる 。 現在 、 2015 年 である 。	イヴァン は 2019 年 に は 申込 に 鳴れて いた 。	neutral	1	年	short
70	2016 年 以来 、 ジャスティン は 御礼 に 歌って いる 。 現在 、 2016 年 である 。	ジャスティン は 2013 年 に は 御礼 に 歌って いた 。	contradiction	1	年	short
71	2010 年 以来 、 チャーリー は 音 に 向けて いる 。 現在 、 2012 年 である 。	チャーリー は 2011 年 に は 音 に 向けて いた 。	entailment	1	年	short
72	2011 年 以来 、 ビクター は 判断 に 持って いる 。 現在 、 2011 年 である 。	ビクター は 2011 年 に は 判断 に 持って いた 。	entailment	1	年	short
73	2010 年 以来 、 エレン は 音 に 覚まして いる 。 現在 、 2009 年 である 。	エレン は 2008 年 に は 音 に 覚まして いた 。	contradiction	1	年	short
74	2004 年 以来 、 チャーリー は 私 に きて いる 。 現在 、 2005 年 である 。	チャーリー は 2004 年 に は 私 に きて いた 。	entailment	1	年	short
75	2017 年 以来 、 チャーリー は 病院 に 支払って いる 。 現在 、 2015 年 である 。	チャーリー は 2016 年 に は 病院 に 支払って いた 。	contradiction	1	年	short
76	2013 年 11 月 以来 、 イヴァン は 肺 に 起こして いる 。 現在 、 2013 年 9 月 である 。	イヴァン は 2002 年 9 月 に は 肺 に 起こして いた 。	contradiction	1	年月	random
77	2001 年 7 月 以来 、 ペギー は サイエンス に 発表 して いる 。 現在 、 2001 年 6 月 である 。	ペギー は 2008 年 5 月 に は サイエンス に 発表 して いた 。	neutral	1	年月	random
78	2014 年 12 月 以来 、 ペギー は 部長 に 死んで いる 。 現在 、 2002 年 12 月 である 。	ペギー は 2007 年 9 月 に は 部長 に 死んで いた 。	contradiction	1	年月	random
79	2007 年 5 月 以来 、 マロリー は 選手 に 行って いる 。 現在 、 2010 年 10 月 である 。	マロリー は 2001 年 11 月 に は 選手 に 行って いた 。	contradiction	1	年月	random
80	2014 年 10 月 以来 、 キャロル は 加減 に 使って いる 。 現在 、 2019 年 1 月 である 。	キャロル は 2015 年 10 月 に は 加減 に 使って いた 。	entailment	1	年月	random
81	2009 年 2 月 以来 、 アイザック は 家 に 呼んで いる 。 現在 、 2013 年 10 月 である 。	アイザック は 2008 年 8 月 に は 家 に 呼んで いた 。	contradiction	1	年月	random
82	2008 年 6 月 以来 、 プロッド は 雑誌 に 発表 して いる 。 現在 、 2020 年 12 月 である 。	プロッド は 2013 年 5 月 に は 雑誌 に 発表 して いた 。	entailment	1	年月	random
83	2020 年 12 月 以来 、 マレット は 色合い に 生ずる て いる 。 現在 、 2005 年 12 月 である 。	マレット は 2000 年 9 月 に は 色合い に 生ずる ていた 。	contradiction	1	年月	random
84	2000 年 12 月 以来 、 アイザック は 盛岡 に やってきて いる 。 現在 、 2019 年 1 月 である 。	アイザック は 2005 年 9 月 に は 盛岡 に やってきて いた 。	entailment	1	年月	random
85	2017 年 7 月 以来 、 チャーリー は 発展 に 果たして いる 。 現在 、 2004 年 7 月 である 。	チャーリー は 2003 年 1 月 に は 発展 に 果たして いた 。	contradiction	1	年月	random
86	2009 年 4 月 以来 、 チャーリー は 心 に 傾けて いる 。 現在 、 2004 年 6 月 である 。	チャーリー は 2015 年 3 月 に は 心 に 傾けて いた 。	neutral	1	年月	random
87	2017 年 5 月 以来 、 オスカー は 東北 に 行って いる 。 現在 、 2011 年 1 月 である 。	オスカー は 2016 年 12 月 に は 東北 に 行って いた 。	contradiction	1	年月	random
88	2005 年 3 月 以来 、 エレン は マレーシア に 鋳て いる 。 現在 、 2010 年 10 月 である 。	エレン は 2017 年 11 月 に は マレーシア に 鋳て いた 。	neutral	1	年月	random
89	2014 年 11 月 以来 、 エレン は 基 に 行って いる 。 現在 、 2014 年 11 月 である 。	エレン は 2008 年 5 月 に は 基 に 行って いた 。	contradiction	1	年月	random
90	2001 年 12 月 以来 、 マーヴィン は 性格 に 変わって いる 。 現在 、 2019 年 6 月 である 。	マーヴィン は 2015 年 4 月 に は 性格 に 変わって いた 。	entailment	1	年月	random
91	2010 年 7 月 以来 、 イブ は ショー に 出て いる 。 現在 、 2011 年 1 月 である 。	イブ は 2004 年 2 月 に は ショー に 出て いた 。	contradiction	1	年月	random
92	2004 年 1 月 以来 、 ボブ は 会場 に 案内 して いる 。 現在 、 2015 年 3 月 である 。	ボブ は 2015 年 6 月 に は 会場 に 案内 して いた 。	neutral	1	年月	random
93	2005 年 10 月 以来 、 パット は 保育 園 に 入園 して いる 。 現在 、 2013 年 8 月 である 。	パット は 2018 年 1 月 に は 保育 園 に 入園 して いた 。	neutral	1	年月	random
94	2000 年 4 月 以来 、 ボブ は 社 に 織って いる 。 現在 、 2016 年 9 月 である 。	ボブ は 2007 年 5 月 に は 社 に 織って いた 。	entailment	1	年月	random
95	2017 年 7 月 以来 、 ボブ は エリア に 加わって いる 。 現在 、 2008 年 9 月 である 。	ボブ は 2001 年 11 月 に は エリア に 加わって いた 。	contradiction	1	年月	random
96	2015 年 3 月 以来 、 チャーリー は 上 に 立て いる 。 現在 、 2016 年 3 月 である 。	チャーリー は 2011 年 11 月 に は 上 に 立て いた 。	contradiction	1	年月	random
97	2008 年 2 月 以来 、 キャロル は 出迎え に 揚がって いる 。 現在 、 2010 年 11 月 である 。	キャロル は 2010 年 10 月 に は 出迎え に 揚がって いた 。	entailment	1	年月	random
98	2018 年 6 月 以来 、 マレット は 学会 に 出掛けて いる 。 現在 、 2009 年 1 月 である 。	マレット は 2011 年 7 月 に は 学会 に 出掛けて いた 。	contradiction	1	年月	random
99	2003 年 1 月 以来 、 マレット は 先生 に 訴えて いる 。 現在 、 2013 年 5 月 である 。	マレット は 2008 年 8 月 に は 先生 に 訴えて いた 。	entailment	1	年月	random
100	2010 年 7 月 以来 、 ボブ は ダイエー に 入団 して いる 。 現在 、 2018 年 12 月 である 。	ボブ は 2003 年 5 月 に は ダイエー に 入団 して いた 。	contradiction	1	年月	random
101	2003 年 4 月 以来 、 ビクター は 領域 に 作成 して いる 。 現在 、 2003 年 5 月 である 。	ビクター は 2003 年 3 月 に は 領域 に 作成 して いた 。	contradiction	1	年月	short
102	2010 年 10 月 以来 、 ボブ は 中学校 に 世話 して いる 。 現在 、 2010 年 11 月 である 。	ボブ は 2010 年 11 月 に は 中学校 に 世話 して いた 。	entailment	1	年月	short
103	2014 年 8 月 以来 、 デイヴ は 先生 に 訴えて いる 。 現在 、 2014 年 8 月 である 。	デイヴ は 2014 年 7 月 に は 先生 に 訴えて いた 。	contradiction	1	年月	short
104	2000 年 6 月 以来 、 デイヴ は 市場 に 登場 して いる 。 現在 、 2000 年 7 月 である 。	デイヴ は 2000 年 7 月 に は 市場 に 登場 して いた 。	entailment	1	年月	short
105	2018 年 11 月 以来 、 キャロル は 大会 に 誘って いる 。 現在 、 2018 年 10 月 である 。	キャロル は 2018 年 10 月 に は 大会 に 誘って いた 。	contradiction	1	年月	short
106	2001 年 6 月 以来 、 マチルダ は 徳島 に やってきて いる 。 現在 、 2001 年 5 月 である 。	マチルダ は 2001 年 6 月 に は 徳島 に やってきて いた 。	neutral	1	年月	short
107	2004 年 4 月 以来 、 マーヴィン は 明治 に 鳴って いる 。 現在 、 2004 年 3 月 である 。	マーヴィン は 2004 年 1 月 に は 明治 に 鳴って いた 。	contradiction	1	年月	short
108	2020 年 9 月 以来 、 マロリー は 客 に 致して いる 。 現在 、 2020 年 9 月 である 。	マロリー は 2020 年 9 月 に は 客 に 致して いた 。	entailment	1	年月	short
109	2019 年 8 月 以来 、 トレント は 内 に 結婚 して いる 。 現在 、 2019 年 10 月 である 。	トレント は 2019 年 7 月 に は 内 に 結婚 して いた 。	contradiction	1	年月	short
110	2016 年 7 月 以来 、 フランク は シャルケ に 移籍 して いる 。 現在 、 2016 年 8 月 である 。	フランク は 2016 年 5 月 に は シャルケ に 移籍 して いた 。	contradiction	1	年月	short
111	2014 年 2 月 以来 、 イヴァン は 棒 に 振るって いる 。 現在 、 2014 年 4 月 である 。	イヴァン は 2014 年 3 月 に は 棒 に 振るって いた 。	entailment	1	年月	short
112	2004 年 5 月 以来 、 チャーリー は 部屋 に 案内 して いる 。 現在 、 2004 年 7 月 である 。	チャーリー は 2004 年 7 月 に は 部屋 に 案内 して いた 。	entailment	1	年月	short
113	2002 年 3 月 以来 、 イヴァン は 頁 に 御座いまして いる 。 現在 、 2002 年 3 月 である 。	イヴァン は 2002 年 4 月 に は 頁 に 御座いまして いた 。	neutral	1	年月	short
114	2008 年 2 月 以来 、 プロッド は 以下 に 致して いる 。 現在 、 2008 年 4 月 である 。	プロッド は 2008 年 3 月 に は 以下 に 致して いた 。	entailment	1	年月	short
115	2006 年 6 月 以来 、 ゾーイ は 市長 に 述べて いる 。 現在 、 2006 年 3 月 である 。	ゾーイ は 2006 年 4 月 に は 市長 に 述べて いた 。	contradiction	1	年月	short
116	2004 年 7 月 以来 、 エレン は 授業 に 行けて いる 。 現在 、 2004 年 6 月 である 。	エレン は 2004 年 6 月 に は 授業 に 行けて いた 。	contradiction	1	年月	short
117	2003 年 8 月 以来 、 アイザック は 部屋 に やってきて いる 。 現在 、 2003 年 7 月 である 。	アイザック は 2003 年 8 月 に は 部屋 に やってきて いた 。	neutral	1	年月	short
118	2009 年 9 月 以来 、 エレン は スクール に 進学 して いる 。 現在 、 2009 年 9 月 である 。	エレン は 2009 年 7 月 に は スクール に 進学 して いた 。	contradiction	1	年月	short
119	2016 年 10 月 以来 、 イヴァン は 相手 に 達成 して いる 。 現在 、 2016 年 9 月 である 。	イヴァン は 2016 年 10 月 に は 相手 に 達成 して いた 。	neutral	1	年月	short
120	2001 年 1 月 以来 、 マーヴィン は 会社 に 支払って いる 。 現在 、 2001 年 4 月 である 。	マーヴィン は 2001 年 3 月 に は 会社 に 支払って いた 。	entailment	1	年月	short
121	2018 年 5 月 以来 、 マロリー は 推進 に 果たして いる 。 現在 、 2018 年 7 月 である 。	マロリー は 2018 年 8 月 に は 推進 に 果たして いた 。	neutral	1	年月	short
122	2006 年 5 月 以来 、 ジャスティン は 以下 に 致して いる 。 現在 、 2006 年 5 月 である 。	ジャスティン は 2006 年 7 月 に は 以下 に 致して いた 。	neutral	1	年月	short
123	2008 年 2 月 以来 、 アリス は 皆さん に 伝えて いる 。 現在 、 2008 年 5 月 である 。	アリス は 2008 年 3 月 に は 皆さん に 伝えて いた 。	entailment	1	年月	short
124	2017 年 9 月 以来 、 エレン は 休み に 読んで いる 。 現在 、 2017 年 7 月 である 。	エレン は 2017 年 9 月 に は 休み に 読んで いた 。	neutral	1	年月	short
125	2001 年 5 月 以来 、 マロリー は 姿 に 傾げて いる 。 現在 、 2001 年 6 月 である 。	マロリー は 2001 年 3 月 に は 姿 に 傾げて いた 。	contradiction	1	年月	short
126	2016 年 9 月 8 日 以来 、 イブ は 第三者 に 致して いる 。 現在 、 2017 年 2 月 7 日 である 。	イブ は 2008 年 3 月 13 日 に は 第三者 に 致して いた 。	contradiction	1	年月日	random
127	2008 年 9 月 1 日 以来 、 イブ は 精神 科 に 入院 して いる 。 現在 、 2014 年 9 月 27 日 である 。	イブ は 2016 年 3 月 20 日 に は 精神 科 に 入院 して いた 。	neutral	1	年月日	random
128	2018 年 1 月 2 日 以来 、 オスカー は 競輪 に 行って いる 。 現在 、 2019 年 9 月 8 日 である 。	オスカー は 2002 年 4 月 25 日 に は 競輪 に 行って いた 。	contradiction	1	年月日	random
129	2007 年 2 月 7 日 以来 、 アリス は オフ に 結んで いる 。 現在 、 2005 年 10 月 28 日 である 。	アリス は 2002 年 12 月 2 日 に は オフ に 結んで いた 。	contradiction	1	年月日	random
130	2019 年 4 月 9 日 以来 、 チャーリー は 上 に 挙げて いる 。 現在 、 2001 年 5 月 3 日 である 。	チャーリー は 2020 年 8 月 25 日 に は 上 に 挙げて いた 。	neutral	1	年月日	random
131	2007 年 1 月 13 日 以来 、 イブ は 祖国 に 帰って いる 。 現在 、 2011 年 11 月 13 日 である 。	イブ は 2014 年 5 月 7 日 に は 祖国 に 帰って いた 。	neutral	1	年月日	random
132	2007 年 6 月 9 日 以来 、 ウォルター は ビデオ に 撮って いる 。 現在 、 2007 年 8 月 19 日 である 。	ウォルター は 2017 年 1 月 21 日 に は ビデオ に 撮って いた 。	neutral	1	年月日	random
133	2011 年 11 月 6 日 以来 、 アイザック は 患者 に 説明 して いる 。 現在 、 2007 年 2 月 15 日 である 。	アイザック は 2016 年 2 月 19 日 に は 患者 に 説明 して いた 。	neutral	1	年月日	random
134	2004 年 4 月 8 日 以来 、 マーヴィン は 支援 に 応じて いる 。 現在 、 2011 年 6 月 19 日 である 。	マーヴィン は 2011 年 10 月 2 日 に は 支援 に 応じて いた 。	neutral	1	年月日	random
135	2014 年 1 月 7 日 以来 、 ボブ は トップ に 浮上 して いる 。 現在 、 2010 年 6 月 29 日 である 。	ボブ は 2018 年 5 月 7 日 に は トップ に 浮上 して いた 。	neutral	1	年月日	random
136	2005 年 11 月 19 日 以来 、 ジャスティン は ホットヨガ に 通って いる 。 現在 、 2011 年 10 月 4 日 である 。	ジャスティン は 2007 年 11 月 21 日 に は ホットヨガ に 通って いた 。	entailment	1	年月日	random
137	2011 年 5 月 6 日 以来 、 キャロル は 世界 に 案内 して いる 。 現在 、 2011 年 2 月 5 日 である 。	キャロル は 2013 年 8 月 12 日 に は 世界 に 案内 して いた 。	neutral	1	年月日	random
138	2012 年 2 月 1 日 以来 、 プロッド は 込み に 持って いる 。 現在 、 2015 年 12 月 20 日 である 。	プロッド は 2011 年 7 月 14 日 に は 込み に 持って いた 。	contradiction	1	年月日	random
139	2006 年 2 月 19 日 以来 、 マーヴィン は 其方 に 世話 して いる 。 現在 、 2000 年 7 月 4 日 である 。	マーヴィン は 2018 年 11 月 24 日 に は 其方 に 世話 して いた 。	neutral	1	年月日	random
140	2020 年 3 月 2 日 以来 、 トルーディー は 後任 者 に 引き継いで いる 。 現在 、 2017 年 12 月 15 日 である 。	トルーディー は 2010 年 1 月 19 日 に は 後任 者 に 引き継いで いた 。	contradiction	1	年月日	random
141	2010 年 1 月 30 日 以来 、 キャロル は 知恵 に 変えて いる 。 現在 、 2010 年 9 月 25 日 である 。	キャロル は 2003 年 6 月 1 日 に は 知恵 に 変えて いた 。	contradiction	1	年月日	random
142	2001 年 9 月 28 日 以来 、 ボブ は 全員 に 贈って いる 。 現在 、 2009 年 2 月 10 日 である 。	ボブ は 2020 年 1 月 21 日 に は 全員 に 贈って いた 。	neutral	1	年月日	random
143	2007 年 2 月 6 日 以来 、 トレント は 大学 に 決めて いる 。 現在 、 2017 年 5 月 4 日 である 。	トレント は 2008 年 5 月 25 日 に は 大学 に 決めて いた 。	entailment	1	年月日	random
144	2012 年 1 月 16 日 以来 、 プロッド は 鵜呑み に して いる 。 現在 、 2003 年 2 月 18 日 である 。	プロッド は 2009 年 11 月 4 日 に は 鵜呑み に して いた 。	contradiction	1	年月日	random
145	2002 年 3 月 14 日 以来 、 ビクター は 大鵬 に 並んで いる 。 現在 、 2015 年 6 月 23 日 である 。	ビクター は 2014 年 12 月 25 日 に は 大鵬 に 並んで いた 。	entailment	1	年月日	random
146	2015 年 3 月 27 日 以来 、 エレン は あて に 書いて いる 。 現在 、 2007 年 6 月 10 日 である 。	エレン は 2006 年 10 月 9 日 に は あて に 書いて いた 。	contradiction	1	年月日	random
147	2020 年 5 月 11 日 以来 、 フランク は 席 に 案内 して いる 。 現在 、 2004 年 11 月 5 日 である 。	フランク は 2011 年 3 月 24 日 に は 席 に 案内 して いた 。	contradiction	1	年月日	random
148	2020 年 12 月 21 日 以来 、 イヴァン は 世界 に 伝えて いる 。 現在 、 2002 年 4 月 6 日 である 。	イヴァン は 2012 年 12 月 27 日 に は 世界 に 伝えて いた 。	contradiction	1	年月日	random
149	2000 年 8 月 30 日 以来 、 エレン は 銀行 に きて いる 。 現在 、 2009 年 3 月 8 日 である 。	エレン は 2006 年 5 月 25 日 に は 銀行 に きて いた 。	entailment	1	年月日	random
150	2010 年 3 月 12 日 以来 、 ビクター は 占拠 に 成功 して いる 。 現在 、 2015 年 4 月 10 日 である 。	ビクター は 2006 年 4 月 30 日 に は 占拠 に 成功 して いた 。	contradiction	1	年月日	random
151	2020 年 12 月 8 日 以来 、 プロッド は 言葉 に 貰って いる 。 現在 、 2020 年 12 月 10 日 である 。	プロッド は 2020 年 12 月 7 日 に は 言葉 に 貰って いた 。	contradiction	1	年月日	short
152	2016 年 9 月 17 日 以来 、 マーヴィン は 大会 に 決めて いる 。 現在 、 2016 年 9 月 20 日 である 。	マーヴィン は 2016 年 9 月 23 日 に は 大会 に 決めて いた 。	neutral	1	年月日	short
153	2012 年 9 月 19 日 以来 、 マレット は バルセロナ に 移籍 して いる 。 現在 、 2012 年 9 月 22 日 である 。	マレット は 2012 年 9 月 22 日 に は バルセロナ に 移籍 して いた 。	entailment	1	年月日	short
154	2015 年 12 月 12 日 以来 、 ジャスティン は 保育 園 に 入園 して いる 。 現在 、 2015 年 12 月 10 日 である 。	ジャスティン は 2015 年 12 月 17 日 に は 保育 園 に 入園 して いた 。	neutral	1	年月日	short
